artikel_id;udbud_id;url;udd6;Titel;Educational_Category;displaydocclass;kaldenavn;hovedinst;hovedinsttx;instkommune;instkommunetx;instregion;instregiontx;afbrud_statusaar;afbrud_n;afbrud;afbrud_aggr;timetal_statusaar;timetal_OfSupervision;timetal_WithFewStudents;timetal_WithManyStudents;branche_statusaar;branche_n;branchepct1;branchepct2;branchepct3;branchepct4;branchetxt1;branchetxt2;branchetxt3;branchetxt4;offt_privat;ledighed_nyudd_statusaar;ledighed_nyudd_n;ledighed_nyudd;ledighed_nyudd_aggr;maanedloen_nyudd_statusaar;maanedloen_nyudd_n;maanedloen_nyudd;maanedloenp25_nyudd;maanedloenp75_nyudd;maanedloen_nyudd_aggr;ledighed_10aar_statusaar;ledighed_10aar_n;ledighed_10aar;ledighed_10aar_aggr;maanedloen_10aar_statusaar;maanedloen_10aar_n;maanedloen_10aar;maanedloenp25_10aar;maanedloenp75_10aar;maanedloen_10aar_aggr;studbesvarelser_antal;studbesvarelser_pct;fagligmiljo_statusaar;fagligmiljo_n;fagligmiljo_ntotal;fagligmiljo_likert;arbmedstud_statusaar;arbmedstud_n;arbmedstud_ntotal;arbmedstud_likert;medstuderende_n;medstuderende_ntotal;medstuderende_likert;medstuderende_statusaar;socialtmiljo_statusaar;socialtmiljo_n;socialtmiljo_ntotal;socialtmiljo_likert;tidsforbrug_p50;tidsforbrug_undv_pct;tidsforbrug_n;tidsforbrug_arbejde;tidsforbrug_arbejde_n;tidsforbrug_studjob_pct;udb_undervisning_statusaar;udbytte_undervisning_n;udbytte_undervisning_ntotal;udbytte_undervisning_likert;uddaktivitet_opgaver_pct;uddaktivitet_praktik_pct;uddaktivitet_statusaar;uddaktivitet_udlandsophold_pct;uddaktivitet_undervisning_pct;und_engagerede_statusaar;undervisere_engagerede_n;undervisere_engagerede_ntotal;undervisere_engagerede_likert;und_feedback_statusaar;undervisere_feedback_n;undervisere_feedback_ntotal;undervisere_feedback_likert;und_hjaelp_statusaar;undervisere_hjaelp_n;undervisere_hjaelp_ntotal;undervisere_hjaelp_likert;und_kontakt_statusaar;undervisere_kontakt_n;undervisere_kontakt_ntotal;undervisere_kontakt_likert;undervisningsform_statusaar;undervisningsform_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;ensom_statusaar;ensom_n;ensom_ntotal;ensom_likert;ensom_altid;ensom_ofte;ensom_nogle;ensom_sjaeldent;ensom_aldrig;stress_daglig_statusaar;stress_daglig_n;stress_daglig_ntotal;stress_daglig_likert;stress_daglig_altid;stress_daglig_ofte;stress_daglig_nogle;stress_daglig_sjaeldent;stress_daglig_aldrig;tilpas_statusaar;tilpas_n;tilpas_ntotal;tilpas_likert;dimbesvarelser_antal;dimbesvarelser_pct;foerstejob_statusaar;foerstejob_n;foerstejob1pct;foerstejob1tx;foerstejob2pct;foerstejob2tx;foerstejob3pct;foerstejob3tx;foerstejob4pct;foerstejob4tx;arbejdsform_statusaar;arbejdsform_n;arbejdsform_fastedagtimer_pct;arbejdsform_faste_aften_nat_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdstid_statusaar;arbejdstid_n;arbejdstid_timer;jobskabende_statusaar;jobskabende_n;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;kompetencerudd_statusaar;kompetencerudd_n;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;rel_over_udd_job_statusaar;relevans_overens_udd_job_n;relevans_overens_udd_job_ntotal;relevans_overens_udd_job_likert;ruster_til_job_statusaar;ruster_til_job_n;ruster_til_job_ntotal;ruster_til_job_likert;udlandet_statusaar;udlandet_n;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;hyppigsteid1;hyppigsteid2;hyppigsteid3;hyppigstepct1;hyppigstepct2;hyppigstepct3;hyppigstetx1;hyppigstetx2;hyppigstetx3;hyppigste_statusaar;hyppigste_n
udb2-civsoftware;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/software;310561;Software;Universitetsuddannelser;Bacheloruddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;598;15;;E2022F2023;132;55;177;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;173;33;202310-202312;133;133;4,14;202310-202312;146;147;4,21;145;147;4,21;202310-202312;202310-202312;130;133;4,16;40,0;55;124;10,0;53;83;202310-202312;150;152;3,69;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;134;134;3,98;202310-202312;136;139;3,70;202310-202312;127;134;3,61;202310-202312;122;134;3,84;202310-202312;166;Projektarbejde (både individuelt og i grupper);Gruppearbejde (læsegruppe, studiegruppe);Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Klasseundervisning (holdundervisning);202310-202312;118;121;3,89;1,00;9,00;20,00;39,00;31,00;202310-202312;117;121;3,85;1,00;12,00;25,00;26,00;36,00;202310-202312;133;133;4,12;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivsoftware:851416;udb2-kacivcybersecurity:151413;udb2-kacivinformationstek:280442;93;3;1;Software - Aalborg Universitet - Aalborg;Cyber Security - Aalborg Universitet - København;Computer Science and Engineering - Danmarks Tekniske Universitet - Lyngby-Taarbæk;201910-202209;221
udb2-civsoftwareengineering;461416;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/software-engineering;310,561,792,361,796,000;Software Engineering;Universitetsuddannelser;Bacheloruddannelse;;461437;Syddansk Universitet;461;Odense;1083;Syddanmark;201910-202209;310;15;;E2022F2023;33;0;290;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;66;31;202310-202312;59;59;3,97;202310-202312;60;60;3,92;60;60;4,12;202310-202312;202310-202312;58;59;4,00;32,0;57;53;11,0;24;94;202310-202312;60;60;3,53;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;59;59;3,76;202310-202312;58;60;3,57;202310-202312;58;59;3,47;202310-202312;55;59;3,73;202310-202312;65;Forelæsninger;Projektarbejde (både individuelt og i grupper);Øvelsestimer (herunder værksteds- og laboratoriearbejde);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);202310-202312;51;53;3,67;4,00;14,00;16,00;45,00;22,00;202310-202312;51;53;3,59;6,00;16,00;20,00;31,00;27,00;202310-202312;59;59;3,90;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivsoftwareengineering:461450;udb2-kacivinformationstek:280442;udb2-kacivcybersecurity:151413;93;4;1;Software Engineering - Syddansk Universitet - Odense;Computer Science and Engineering - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Cyber Security - Aalborg Universitet - København;201910-202209;142
udb2-civsoftwareengineering;537406;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/software-engineering;310,561,792,361,796,000;Software Engineering;Universitetsuddannelser;Bacheloruddannelse;;461437;Syddansk Universitet;540;Sønderborg;1083;Syddanmark;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;;;Ingen data;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-civsoftwareengineering;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/software-engineering;310,561,792,361,796,000;Software Engineering;Universitetsuddannelser;Bacheloruddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;908;15;;E2022F2023;33;0;290;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;66;31;202310-202312;59;59;3,97;202310-202312;60;60;3,92;60;60;4,12;202310-202312;202310-202312;58;59;4,00;32,0;57;53;11,0;24;94;202310-202312;60;60;3,53;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;59;59;3,76;202310-202312;58;60;3,57;202310-202312;58;59;3,47;202310-202312;55;59;3,73;202310-202312;65;Forelæsninger;Projektarbejde (både individuelt og i grupper);Øvelsestimer (herunder værksteds- og laboratoriearbejde);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);202310-202312;51;53;3,67;4,00;14,00;16,00;45,00;22,00;202310-202312;51;53;3,59;6,00;16,00;20,00;31,00;27,00;202310-202312;59;59;3,90;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivsoftwareengineering:461450;udb2-kacivinformationstek:280442;udb2-kacivcybersecurity:151413;93;4;1;Software Engineering - Syddansk Universitet - Odense;Computer Science and Engineering - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Cyber Security - Aalborg Universitet - København;201910-202209;142
udb2-civsoftwareteknologi;280442;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/softwareteknologi;301,961,793,961;Softwareteknologi;Universitetsuddannelser;Bacheloruddannelse;;173405;Danmarks Tekniske Universitet;173;Lyngby-Taarbæk;1084;Hovedstaden;201910-202209;303;17;;E2022F2023;34;156;141;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;84;31;202310-202312;79;79;4,33;202310-202312;81;81;4,17;10;10;4,60;202310-202312;202310-202312;78;79;4,13;33,5;48;76;11,5;44;86;202310-202312;81;81;3,99;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;78;80;3,99;202310-202312;80;81;3,81;202310-202312;77;80;3,68;202310-202312;73;80;3,99;202310-202312;81;Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Projektarbejde (både individuelt og i grupper);Øvelsestimer (herunder værksteds- og laboratoriearbejde);202310-202312;73;74;3,58;3,00;16,00;23,00;36,00;22,00;202310-202312;72;74;3,86;3,00;10,00;24,00;26,00;38,00;202310-202312;78;79;4,13;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivinformationstek:280442;udb2-civmenneskeorienteret:280442;udb2-kacivmatmodellering:280442;75;17;2;Computer Science and Engineering - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Human-Centered Artificial Intelligence - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Mathematical Modelling and Computation - Danmarks Tekniske Universitet - Lyngby-Taarbæk;201910-202209;149
udb2-civsoftwareteknologi;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/softwareteknologi;301,961,793,961;Softwareteknologi;Universitetsuddannelser;Bacheloruddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;303;17;;E2022F2023;34;156;141;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;84;31;202310-202312;79;79;4,33;202310-202312;81;81;4,17;10;10;4,60;202310-202312;202310-202312;78;79;4,13;33,5;48;76;11,5;44;86;202310-202312;81;81;3,99;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;78;80;3,99;202310-202312;80;81;3,81;202310-202312;77;80;3,68;202310-202312;73;80;3,99;202310-202312;81;Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Projektarbejde (både individuelt og i grupper);Øvelsestimer (herunder værksteds- og laboratoriearbejde);202310-202312;73;74;3,58;3,00;16,00;23,00;36,00;22,00;202310-202312;72;74;3,86;3,00;10,00;24,00;26,00;38,00;202310-202312;78;79;4,13;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivinformationstek:280442;udb2-civmenneskeorienteret:280442;udb2-kacivmatmodellering:280442;75;17;2;Computer Science and Engineering - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Human-Centered Artificial Intelligence - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Mathematical Modelling and Computation - Danmarks Tekniske Universitet - Lyngby-Taarbæk;201910-202209;149
udb2-civspiludviklingoglaering;461416;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/spiludvikling-og-laeringsteknologi;792961;Spiludvikling og læringsteknologi;Universitetsuddannelser;Bacheloruddannelse;;461437;Syddansk Universitet;461;Odense;1083;Syddanmark;201910-202209;119;13;;E2022F2023;29;115;95;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;40;34;202310-202312;37;38;4,08;202310-202312;40;40;4,13;39;40;4,21;202310-202312;202310-202312;37;38;4,35;32,0;52;35;7,0;11;80;202310-202312;39;40;3,56;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;39;39;4,08;202310-202312;38;40;3,47;202310-202312;39;39;3,59;202310-202312;39;39;3,92;202310-202312;40;Projektarbejde (både individuelt og i grupper);Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Selvstudie (forberedelse, læsning, hjemmeopgaver);Forelæsninger;202310-202312;34;35;3,59;3,00;15,00;29,00;26,00;26,00;202310-202312;35;35;3,49;6,00;17,00;20,00;37,00;20,00;202310-202312;38;38;4,11;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivspiludvikling:461450;udb2-kanditmultimedietek:101530;udb3-kanatviddatascience:461416;90;4;4;Spiludvikling og læringsteknologi - Syddansk Universitet - Odense;Games - IT-Universitetet i København - København;Data Science - Syddansk Universitet - Odense;201910-202209;48
udb2-civspiludviklingoglaering;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/spiludvikling-og-laeringsteknologi;792961;Spiludvikling og læringsteknologi;Universitetsuddannelser;Bacheloruddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;119;13;;E2022F2023;29;115;95;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;40;34;202310-202312;37;38;4,08;202310-202312;40;40;4,13;39;40;4,21;202310-202312;202310-202312;37;38;4,35;32,0;52;35;7,0;11;80;202310-202312;39;40;3,56;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;39;39;4,08;202310-202312;38;40;3,47;202310-202312;39;39;3,59;202310-202312;39;39;3,92;202310-202312;40;Projektarbejde (både individuelt og i grupper);Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Selvstudie (forberedelse, læsning, hjemmeopgaver);Forelæsninger;202310-202312;34;35;3,59;3,00;15,00;29,00;26,00;26,00;202310-202312;35;35;3,49;6,00;17,00;20,00;37,00;20,00;202310-202312;38;38;4,11;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivspiludvikling:461450;udb2-kanditmultimedietek:101530;udb3-kanatviddatascience:461416;90;4;4;Spiludvikling og læringsteknologi - Syddansk Universitet - Odense;Games - IT-Universitetet i København - København;Data Science - Syddansk Universitet - Odense;201910-202209;48
udb2-civstrategiskanalyse;280442;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/strategisk-analyse-og-systemdesign;790661;Strategisk analyse og systemdesign;Universitetsuddannelser;Bacheloruddannelse;;173405;Danmarks Tekniske Universitet;173;Lyngby-Taarbæk;1084;Hovedstaden;201910-202209;154;19;;E2022F2023;24;145;166;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;34;30;202310-202312;31;31;4,06;202310-202312;34;34;3,97;;;;Ingen data;202310-202312;31;31;3,74;40,0;50;27;12,0;16;86;202310-202312;33;34;3,88;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;33;33;4,12;202310-202312;32;34;3,59;202310-202312;33;33;3,67;202310-202312;32;33;3,75;202310-202312;34;Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Projektarbejde (både individuelt og i grupper);Øvelsestimer (herunder værksteds- og laboratoriearbejde);202310-202312;28;28;3,39;4,00;21,00;29,00;25,00;21,00;202310-202312;28;28;3,21;4,00;25,00;39,00;11,00;21,00;202310-202312;30;31;3,90;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb3-kacivbusiness:280442;udb2-kacivplaninnovationledelse:280442;udb2-kacivmatmodellering:280442;52;29;10;Business Analytics - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Industrial Engineering and Management - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Mathematical Modelling and Computation - Danmarks Tekniske Universitet - Lyngby-Taarbæk;201910-202209;97
udb2-civstrategiskanalyse;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/strategisk-analyse-og-systemdesign;790661;Strategisk analyse og systemdesign;Universitetsuddannelser;Bacheloruddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;154;19;;E2022F2023;24;145;166;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;34;30;202310-202312;31;31;4,06;202310-202312;34;34;3,97;;;;Ingen data;202310-202312;31;31;3,74;40,0;50;27;12,0;16;86;202310-202312;33;34;3,88;8,33;0,00;E2022F2023;0,00;91,67;202310-202312;33;33;4,12;202310-202312;32;34;3,59;202310-202312;33;33;3,67;202310-202312;32;33;3,75;202310-202312;34;Forelæsninger;Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Projektarbejde (både individuelt og i grupper);Øvelsestimer (herunder værksteds- og laboratoriearbejde);202310-202312;28;28;3,39;4,00;21,00;29,00;25,00;21,00;202310-202312;28;28;3,21;4,00;25,00;39,00;11,00;21,00;202310-202312;30;31;3,90;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb3-kacivbusiness:280442;udb2-kacivplaninnovationledelse:280442;udb2-kacivmatmodellering:280442;52;29;10;Business Analytics - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Industrial Engineering and Management - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Mathematical Modelling and Computation - Danmarks Tekniske Universitet - Lyngby-Taarbæk;201910-202209;97
udb2-civstrucengineer;461450;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/tekniskvidenskabeligekandidatuddannelser/civilingenioeruddannelser/konstruktionsteknik;524,462,837,662;Konstruktionsteknik;Universitetsuddannelser;Kandidatuddannelse;;461437;Syddansk Universitet;461;Odense;1083;Syddanmark;201910-202209;50;20;;E2022F2023;13;259;0;201911-202111;257;53;27;6;14;Videnservice;Industri;Handel;Øvrige brancher;92;201910-202306;41;4;;201901-202112;26;39.5;37.3;44.2;;Ingen data;;;;Ingen data;;;;;;24;67;202310-202312;21;22;4,29;202310-202312;22;22;4,27;22;22;4,45;202310-202312;202310-202312;21;22;4,14;44,0;57;21;4,0;17;88;202310-202312;23;23;3,70;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;22;22;4,32;202310-202312;20;22;3,90;202310-202312;21;22;3,67;202310-202312;22;22;4,45;202310-202312;24;Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Forelæsninger;Gruppearbejde (læsegruppe, studiegruppe);202310-202312;21;22;3,90;0,00;10,00;29,00;24,00;38,00;202310-202312;22;22;3,73;0,00;5,00;41,00;32,00;23,00;202310-202312;21;22;4,24;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-civstrucengineer;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/kandidatuddannelser/tekniskvidenskabeligekandidatuddannelser/civilingenioeruddannelser/konstruktionsteknik;524,462,837,662;Konstruktionsteknik;Universitetsuddannelser;Kandidatuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;50;20;;E2022F2023;13;259;0;201911-202111;257;53;27;6;14;Videnservice;Industri;Handel;Øvrige brancher;92;201910-202306;41;4;;201901-202112;26;39.5;37.3;44.2;;Ingen data;;;;Ingen data;;;;;;24;67;202310-202312;21;22;4,29;202310-202312;22;22;4,27;22;22;4,45;202310-202312;202310-202312;21;22;4,14;44,0;57;21;4,0;17;88;202310-202312;23;23;3,70;25,00;0,00;E2022F2023;0,00;75,00;202310-202312;22;22;4,32;202310-202312;20;22;3,90;202310-202312;21;22;3,67;202310-202312;22;22;4,45;202310-202312;24;Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Forelæsninger;Gruppearbejde (læsegruppe, studiegruppe);202310-202312;21;22;3,90;0,00;10,00;29,00;24,00;38,00;202310-202312;22;22;3,73;0,00;5,00;41,00;32,00;23,00;202310-202312;21;22;4,24;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-civsundhedsteknologi;851416;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/sundhedsteknologi;804261;Sundhedsteknologi;Universitetsuddannelser;Bacheloruddannelse;;851446;Aalborg Universitet;851;Aalborg;1081;Nordjylland;201910-202209;146;20;;E2022F2023;86;94;111;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;50;42;202310-202312;39;39;3,97;202310-202312;44;44;4,18;44;44;4,09;202310-202312;202310-202312;38;39;3,89;45,0;57;35;6,0;17;91;202310-202312;46;46;3,26;11,11;0,00;E2022F2023;0,00;88,89;202310-202312;41;41;3,76;202310-202312;43;43;3,58;202310-202312;39;41;3,69;202310-202312;38;41;3,82;202310-202312;48;Projektarbejde (både individuelt og i grupper);Forelæsninger;Gruppearbejde (læsegruppe, studiegruppe);Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);202310-202312;33;33;3,52;0,00;15,00;39,00;24,00;21,00;202310-202312;32;33;3,78;0,00;13,00;31,00;22,00;34,00;202310-202312;39;39;3,85;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivsundhedsteknologi:851416;udb2-kacivmedicinogteknologi:280442;udb2-kacivbiomedteknologi:751431;96;2;1;Sundhedsteknologi - Aalborg Universitet - Aalborg;Biomedical Engineering - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Biomedicinsk teknik - Aarhus Universitet - Aarhus;201910-202209;89
udb2-civsundhedsteknologi;999999;www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/sundhedsteknologi;804261;Sundhedsteknologi;Universitetsuddannelser;Bacheloruddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;146;20;;E2022F2023;86;94;111;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;50;42;202310-202312;39;39;3,97;202310-202312;44;44;4,18;44;44;4,09;202310-202312;202310-202312;38;39;3,89;45,0;57;35;6,0;17;91;202310-202312;46;46;3,26;11,11;0,00;E2022F2023;0,00;88,89;202310-202312;41;41;3,76;202310-202312;43;43;3,58;202310-202312;39;41;3,69;202310-202312;38;41;3,82;202310-202312;48;Projektarbejde (både individuelt og i grupper);Forelæsninger;Gruppearbejde (læsegruppe, studiegruppe);Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);202310-202312;33;33;3,52;0,00;15,00;39,00;24,00;21,00;202310-202312;32;33;3,78;0,00;13,00;31,00;22,00;34,00;202310-202312;39;39;3,85;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;udb2-kacivsundhedsteknologi:851416;udb2-kacivmedicinogteknologi:280442;udb2-kacivbiomedteknologi:751431;96;2;1;Sundhedsteknologi - Aalborg Universitet - Aalborg;Biomedical Engineering - Danmarks Tekniske Universitet - Lyngby-Taarbæk;Biomedicinsk teknik - Aarhus Universitet - Aarhus;201910-202209;89
